hp_idx,k,distribution,cell_split_seed,bin_size,isi_dist_bins_start,isi_dist_bins_stop,isi_dist_bins_step,fr_dist_bins_start,fr_dist_bins_stop,fr_dist_bins_step,lr,n_hiddens
59,17celltypes,ISIFR,1234,0.05,0,0.401,0.002,0,21,1,0.001,"150,150,75,75,38,38"
60,17celltypes,ISIFR,1234,0.05,0,0.401,0.002,0,21,1,0.01,"150,75,38"
61,17celltypes,ISIFR,1234,0.05,0,0.401,0.002,0,21,1,0.01,"150,150,75,75,38,38"
62,17celltypes,ISIFR,1234,0.05,0,0.401,0.002,0,21,1,0.1,"150,75,38"
63,17celltypes,ISIFR,1234,0.05,0,0.401,0.002,0,21,1,0.1,"150,150,75,75,38,38"
64,17celltypes,ISIFR,1234,0.025,0,0.401,0.002,0,21,1,0.0001,"150,75,38"
65,17celltypes,ISIFR,1234,0.025,0,0.401,0.002,0,21,1,0.0001,"150,150,75,75,38,38"
66,17celltypes,ISIFR,1234,0.025,0,0.401,0.002,0,21,1,0.001,"150,75,38"
67,17celltypes,ISIFR,1234,0.025,0,0.401,0.002,0,21,1,0.001,"150,150,75,75,38,38"
68,17celltypes,ISIFR,1234,0.025,0,0.401,0.002,0,21,1,0.01,"150,75,38"
69,17celltypes,ISIFR,1234,0.025,0,0.401,0.002,0,21,1,0.01,"150,150,75,75,38,38"
70,17celltypes,ISIFR,1234,0.025,0,0.401,0.002,0,21,1,0.1,"150,75,38"
71,17celltypes,ISIFR,1234,0.025,0,0.401,0.002,0,21,1,0.1,"150,150,75,75,38,38"
