hp_idx,k,distribution,cell_split_seed,bin_size,isi_dist_bins_start,isi_dist_bins_stop,isi_dist_bins_step,fr_dist_bins_start,fr_dist_bins_stop,fr_dist_bins_step,lr,n_hiddens
123,17celltypes,ISI,1234,0.2,0,0.401,0.0001,0,51,1,0.01,"2400,1200,600,300,150,75,38"
124,17celltypes,ISI,1234,0.2,0,0.401,0.00005,0,51,1,0.0001,"4800,2400,1200,600,300,150,75,38"
125,17celltypes,ISI,1234,0.2,0,0.401,0.00005,0,51,1,0.001,"4800,2400,1200,600,300,150,75,38"
126,17celltypes,ISI,1234,0.2,0,0.401,0.00005,0,51,1,0.01,"4800,2400,1200,600,300,150,75,38"
127,13celltypes,ISI,1234,0.2,0,0.401,0.00025,0,51,1,0.0001,"1200,600,300,150,75,38"
128,13celltypes,ISI,1234,0.2,0,0.401,0.00025,0,51,1,0.001,"1200,600,300,150,75,38"
129,13celltypes,ISI,1234,0.2,0,0.401,0.00025,0,51,1,0.01,"1200,600,300,150,75,38"
130,13celltypes,ISI,1234,0.2,0,0.401,0.0001,0,51,1,0.0001,"2400,1200,600,300,150,75,38"
131,13celltypes,ISI,1234,0.2,0,0.401,0.0001,0,51,1,0.001,"2400,1200,600,300,150,75,38"
132,13celltypes,ISI,1234,0.2,0,0.401,0.0001,0,51,1,0.01,"2400,1200,600,300,150,75,38"
133,13celltypes,ISI,1234,0.2,0,0.401,0.00005,0,51,1,0.0001,"4800,2400,1200,600,300,150,75,38"
134,13celltypes,ISI,1234,0.2,0,0.401,0.00005,0,51,1,0.001,"4800,2400,1200,600,300,150,75,38"
135,13celltypes,ISI,1234,0.2,0,0.401,0.00005,0,51,1,0.01,"4800,2400,1200,600,300,150,75,38"
136,11celltypes,ISI,1234,0.2,0,0.401,0.00025,0,51,1,0.0001,"1200,600,300,150,75,38"
137,11celltypes,ISI,1234,0.2,0,0.401,0.00025,0,51,1,0.001,"1200,600,300,150,75,38"
138,11celltypes,ISI,1234,0.2,0,0.401,0.00025,0,51,1,0.01,"1200,600,300,150,75,38"
139,11celltypes,ISI,1234,0.2,0,0.401,0.0001,0,51,1,0.0001,"2400,1200,600,300,150,75,38"
140,11celltypes,ISI,1234,0.2,0,0.401,0.0001,0,51,1,0.001,"2400,1200,600,300,150,75,38"
141,11celltypes,ISI,1234,0.2,0,0.401,0.0001,0,51,1,0.01,"2400,1200,600,300,150,75,38"
142,11celltypes,ISI,1234,0.2,0,0.401,0.00005,0,51,1,0.0001,"4800,2400,1200,600,300,150,75,38"
143,11celltypes,ISI,1234,0.2,0,0.401,0.00005,0,51,1,0.001,"4800,2400,1200,600,300,150,75,38"
144,11celltypes,ISI,1234,0.2,0,0.401,0.00005,0,51,1,0.01,"4800,2400,1200,600,300,150,75,38"
