hp_idx	k	distribution	cell_split_seed	bin_size	isi_dist_bins_start	isi_dist_bins_stop	isi_dist_bins_step	fr_dist_bins_start	fr_dist_bins_stop	fr_dist_bins_step	lr	n_hiddens	dropout_p	weight_decay	window_size	train_f1	test_f1	val_f1
1	17celltypes	ISI	1234	0.2	0	0.4	0.002	0	51	1	0.001	150,75,38	0.2	0	0.25			
2	17celltypes	ISI	1234	0.2	0	0.4	0.001	0	51	1	0.001	300,150,75,38	0.2	0.000001	0.25			
3	17celltypes	ISI	1234	0.2	0	0.4	0.0005	0	51	1	0.001	600,300,150,75,38	0	0	0.25			
3	17celltypes	ISI	1234	0.2	0	0.4	0.0005	0	51	1	0.001	75,38	0	0.0001	0.25			
