hp_idx,k,distribution,cell_split_seed,bin_size,isi_dist_bins_start,isi_dist_bins_stop,isi_dist_bins_step,fr_dist_bins_start,fr_dist_bins_stop,fr_dist_bins_step,lr,n_hiddens,dropout_p,weight_decay
1000,17celltypes,ISI,1234,0.2,0,0.401,0.0005,0,21,1,0.001,"600,300,150,75,38",0.1,0
1001,17celltypes,ISI,1234,0.2,0,0.401,0.0005,0,21,1,0.001,"600,300,150,75,38",0.2,0
1002,17celltypes,ISI,1234,0.2,0,0.401,0.0005,0,21,1,0.001,"600,300,150,75,38",0.3,0
1003,17celltypes,ISI,1234,0.2,0,0.401,0.0005,0,21,1,0.001,"600,300,150,75,38",0,0.000001
1004,17celltypes,ISI,1234,0.2,0,0.401,0.0005,0,21,1,0.001,"600,300,150,75,38",0,0.00001
1005,17celltypes,ISI,1234,0.2,0,0.401,0.0005,0,21,1,0.001,"600,300,150,75,38",0,0.0001
1006,17celltypes,ISI,1234,0.2,0,0.401,0.0005,0,21,1,0.001,"600,300,150,75,38",0.1,0.00001
1007,17celltypes,ISI,1234,0.2,0,0.401,0.0005,0,21,1,0.001,"600,300,150,75,38",0.2,0.00001
1008,17celltypes,ISI,1234,0.2,0,0.401,0.0005,0,21,1,0.001,"600,300,150,75,38",0.3,0.00001
1009,17celltypes,ISI,1234,0.2,0,0.401,0.0005,0,21,1,0.001,"600,300,150,75,38",0.2,0.000001
1010,17celltypes,ISI,1234,0.2,0,0.401,0.0005,0,21,1,0.001,"600,300,150,75,38",0.2,0.00001
1011,17celltypes,ISI,1234,0.2,0,0.401,0.0005,0,21,1,0.001,"600,300,150,75,38",0.2,0.0001
