hp_idx,k,distribution,cell_split_seed,bin_size,isi_dist_bins_start,isi_dist_bins_stop,isi_dist_bins_step,fr_dist_bins_start,fr_dist_bins_stop,fr_dist_bins_step,lr,n_hiddens
100,17celltypes,ISI,1234,0.2,0,0.401,0.0005,0,51,1,0.0001,"600,300,150,75,38"
101,17celltypes,ISI,1234,0.2,0,0.401,0.0005,0,51,1,0.001,"600,300,150,75,38"
102,17celltypes,ISI,1234,0.2,0,0.401,0.0005,0,51,1,0.01,"600,300,150,75,38"
103,17celltypes,ISI,1234,0.2,0,0.401,0.0005,0,51,1,0.0001,"800,1000,600,300,150,75,38"
104,17celltypes,ISI,1234,0.2,0,0.401,0.0005,0,51,1,0.001,"800,1000,600,300,150,75,38"
105,17celltypes,ISI,1234,0.2,0,0.401,0.0005,0,51,1,0.01,"800,1000,600,300,150,75,38"
106,17celltypes,ISI,1234,0.2,0,0.401,0.00025,0,51,1,0.0001,"1200,600,300,150,75,38"
107,17celltypes,ISI,1234,0.2,0,0.401,0.00025,0,51,1,0.001,"1200,600,300,150,75,38"
108,17celltypes,ISI,1234,0.2,0,0.401,0.00025,0,51,1,0.01,"1200,600,300,150,75,38"
109,17celltypes,ISI,1234,0.2,0,0.401,0.00025,0,51,1,0.0001,"1600,2000,1600,1200,600,300,150,75,38"
110,17celltypes,ISI,1234,0.2,0,0.401,0.00025,0,51,1,0.001,"1600,2000,1600,1200,600,300,150,75,38"
111,17celltypes,ISI,1234,0.2,0,0.401,0.00025,0,51,1,0.01,"1600,2000,1600,1200,600,300,150,75,38"
