train_acc,test_acc,val_acc
0.1753491972214969,0.16931879194886798,0.17088670948035858
0.2536466874548595,0.2735860943394538,0.218688244321568
0.29254480561822005,0.29182324685467775,0.26031575932589623
0.34020466042151615,0.347958651086941,0.29536394701027774
0.11037470899664983,0.09982481888179898,0.0847737193990423
0.23288537981615515,0.22619718201130443,0.2081159544432254
0.27560416007842814,0.27686783538367793,0.22439237106625962
0.3258813401408724,0.31989818074708387,0.27302750099852796
0.3217982502804406,0.3280394299965125,0.25039932720429836
0.2860493404627591,0.2926251286352322,0.24210853592406756
0.2927152721331864,0.29165146780960893,0.24496780297449708
0.2799322145831443,0.2709696607102662,0.23463623237920078
0.3007809523316575,0.29248446460606603,0.25207782818671226
0.2863809883706998,0.2816252262000378,0.22775720181797376
0.2666657200322188,0.2543298643943426,0.2054064187658522
0.2803643608162143,0.27304324405008973,0.22369531321276806
0.2915426150702293,0.29075970133614604,0.23632555287547702
0.28223525096408325,0.27449866118438193,0.2129117814602167
0.2650751550449868,0.2580937401036091,0.2059044281261848
0.257647507531658,0.2576510058414967,0.21124415997296747
0.2618518512806099,0.25492722312027805,0.2044486116064291
0.2855372663473171,0.2703828681367257,0.23328647086969787
0.2895665415335655,0.2706864064704715,0.23511730114529275
0.2998818146035546,0.2824453209730633,0.23226191154779774
0.28156077903852145,0.26790599627106976,0.21243457584105715
0.3098197415652914,0.3088937308835509,0.24173235080302416
0.3038879638855864,0.31220174021170105,0.24839283952354715
0.294182185281195,0.2814757612267513,0.2419508219648857
0.30008007282074,0.278780057453834,0.2381124191070316
0.28167861017779866,0.26235472001144516,0.21618855203699733
0.28071221137819385,0.25584537417961306,0.21823454989299662
0.20447122373183862,0.19607016184097628,0.17767782031457968
0.21363489842886435,0.20306201105641883,0.1616266722253819
0.23019270930810448,0.20605709151130172,0.18124788131980896
0.2665842272349169,0.23581280776064717,0.2043569659933031
0.2325794836697604,0.20812376807790472,0.17583103544448603
0.2678684724437396,0.24690967045278284,0.2077495009755833
0.21210856534558864,0.18568005800888518,0.16954137263154778
0.2458005298721515,0.226635691703439,0.18656925271876826
0.2573716819196449,0.23332373733176826,0.19918026313452047
0.2509010659667032,0.23009316723204193,0.1964760594227424
0.26135633833714333,0.23649178220071487,0.20187287907793358
0.2648281565205521,0.23866048303450443,0.20425480326646753
0.261161383713389,0.23531903949854072,0.19637752425746638
0.2673848066407676,0.24479213476415823,0.20166649733293224
0.24365443538302725,0.22103690667635478,0.18539558029701042
0.21714805115389377,0.20201276134437665,0.177266065719139
0.23825239960069197,0.21771684957721843,0.1918495719614539
0.2284851743122652,0.20470602646917402,0.18203690566555356
0.23150284013386227,0.21164669985322088,0.18613759627421905
